name,type,format,description,example,enum,minLength,maxLength,minimum,maximum,pattern,deprecated,fit_gap_status,local_term,local_kind,local_domain,local_range
isReportableQuantity,boolean,,"Indicates if a container of hazardous material is at the reportable quantity level. If `TRUE`, a report to the relevant authority must be made in case of spill.",False,,,,,,,False,present,isReportableQuantity,datatype_property,Commodity,boolean
isSalvagePackings,boolean,,"Indicates if the cargo has special packaging for the transport, recovery or disposal of damaged, defective, leaking or nonconforming hazardous materials packages, or hazardous materials that have spilled or leaked.",False,,,,,,,False,missing,,,,
isShippedOnBoardType,boolean,,"Specifies whether the Transport document is a received for shipment, or shipped on board.",True,,,,,,,False,missing,,,,
isShipperOwned,boolean,,Indicates whether the container is shipper owned (SOC).,True,,,,,,,False,present,isShipperOwned,datatype_property,Container,boolean
isToBeNotified,boolean,,Used to decide whether the party will be notified of the arrival of the cargo.,True,,,,,,,False,missing,,,,
isToOrder,boolean,,"Indicates whether the B/L is issued `to order` or not. If `true`, the B/L is considered negotiable and an Endorsee party can be defined in the Document parties. If no Endorsee is defined, the B/L is blank endorsed. If `false`, the B/L is considered non-negotiable (also referred to as `straight`). `isToOrder` must be `false` if `transportDocumentTypeCode='SWB'` (Sea Waybill).",False,,,,,,,False,missing,,,,
isVentilationOpen,boolean,,If `true` the ventilation orifice is `Open` - if `false` the ventilation orifice is `closed`,True,,,,,,,False,missing,,,,
isWaste,boolean,,Indicates if waste is being shipped,False,,,,,,,False,missing,,,,
issueDate,string,date,"Local date when the transport document has been issued. Can be omitted on draft transport documents, but must be provided when the document has been issued.",2020-12-12,,,,,,,False,missing,,,,
itNumber,string,,A number issued by U.S. Customs to track any imported goods moving inland from a Port of Discharge. **Condition**: Only applicable to imports into USA that include a `Place of Delivery`.,500XER120,,,20,,,^\S+(\s+\S+)*$,False,missing,,,,
latitude,string,,Geographic coordinate that specifies the north–south position of a point on the Earth&apos;s surface.,+48.858550,,,10,,,"^[\+-][0-9]{1,2}\.[0-9]{1,6}$",False,missing,,,,
locationName,string,,The name of the location.,Port of Amsterdam,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
longitude,string,,Geographic coordinate that specifies the east–west position of a point on the Earth&apos;s surface.,+2.294492,,,11,,,"^[\+-][0-9]{1,3}\.[0-9]{1,6}$",False,missing,,,,
measuredAirExchange,number,float,The measured value for the air exchange rate which is the rate at which outdoor air replaces indoor air within a Reefer container,15.4,,,,0,,,False,missing,,,,
measuredAmbientTemperature,number,float,The measured value of the ambient temperature of the Reefer.,-15,,,,,,,False,missing,,,,
measuredCo2,number,float,The measured value of the controlled atmosphere `CO<sub>2</sub>` value in percent,75.3,,,,0,100,,False,missing,,,,
measuredHumidity,number,float,The measured value of the controlled atmosphere humidity value in percent,95.6,,,,0,100,,False,missing,,,,
measuredO2,number,float,The measured value of the controlled atmosphere `O<sub>2</sub>` value in percent,75.3,,,,0,100,,False,missing,,,,
measuredTemperature,number,float,The measured value of the temperature of the Reefer,-15,,,,,,,False,missing,,,,
modeOfTransport,string,,The mode of transport as defined by DCSA. The currently supported values include: - VESSEL - RAIL - TRUCK - BARGE,VESSEL,,,50,,,,False,present,modeOfTransport,datatype_property,TransportCall,string
naNumber,string,,"Four-digit number that is assigned to dangerous, hazardous, and harmful substances by the United States Department of Transportation.",9037,,,,,,^\d{4}$,False,missing,,,,
netExplosiveContent,number,float,"The total weight of the explosive substances, without the packaging’s, casings, etc.",2.4,,,,,,,False,missing,,,,
netExplosiveContentUnit,string,,Unit of measure used to describe the `netExplosiveWeight`. Possible values are - KGM (Kilograms) - GRM (Grams),KGM,KGM|GRM,,,,,,False,missing,,,,
netWeight,number,float,"Total weight of the goods carried, excluding packaging.",2.4,,,,,,,False,missing,,,,
netWeightUnit,string,,Unit of measure used to describe the `netWeight`. Possible values are - KGM (Kilograms) - LBR (Pounds),KGM,KGM|LBR,,,,,,False,missing,,,,
nmftaCode,string,,The Standard Carrier Alpha Code (SCAC) provided by NMFTA.,MMCU,,,4,,,^\S+(\s+\S+)*$,False,missing,,,,
numberOfCopies,integer,int32,The requested number of copies of the Transport document to be issued by the carrier. Only applicable for physical documents,2,,,,0,,,False,missing,,,,
numberOfCopiesWithCharges,integer,int32,The requested number of copies of the Transport document to be issued by the carrier including charges. Only applicable for physical (paper) documents,2,,,,0,,,False,missing,,,,
numberOfCopiesWithoutCharges,integer,int32,The requested number of copies of the Transport document to be issued by the carrier **NOT** including charges. Only applicable for physical (paper) documents,2,,,,0,,,False,missing,,,,
numberOfOriginalsWithCharges,integer,int32,Number of originals of the bill of lading that has been requested by the customer with charges. Only applicable for physical documents.,1,,,,0,,,False,missing,,,,
numberOfOriginalsWithoutCharges,integer,int32,Number of originals of the bill of lading that has been requested by the customer without charges. Only applicable for physical documents.,1,,,,0,,,False,missing,,,,
numberOfPackages,integer,int32,Specifies the number of packages associated with this cargo item,18,,,,1,99999,,False,present,numberOfPackages,datatype_property,CargoItem,integer
numberOfRiderPages,integer,int32,The number of additional pages required to contain the goods description on a transport document. Only applicable for physical transport documents.,2,,,,0,,,False,missing,,,,
o2Setpoint,number,float,The percentage of the controlled atmosphere O<sub>2</sub> target value,75.3,,,,0,100,,False,missing,,,,
originChargesPaymentTermCode,string,,"An indicator of whether origin charges are prepaid (PRE) or collect (COL). When prepaid, the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided). Examples of origin charges are customs clearance fees, documentation fees, container packing and loading charges levied at the port of origin to cover the costs of prepari",PRE,PRE|COL,,,,,,False,missing,,,,
packageCode,string,,A code identifying the outer packaging/overpack. `PackageCode` must follow the codes specified in [Recommendation N°21 - Revision 12 Annexes V and VI](https://unece.org/sites/default/files/2021-06/rec21_Rev12e_Annex-V-VI_2021.xls) **Condition:** only applicable to dangerous goods if the `IMO packaging code` is not available.,5H,,,,,,^[A-Z0-9]{2}$,False,present,packageCode,datatype_property,CargoItem,string
packageNameOnBL,string,,To provide package description displayed on the BL,Bags,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
packingGroup,integer,int32,The packing group according to the UN Recommendations on the Transport of Dangerous Goods and IMO IMDG Code.,3,,,,1,3,,False,present,packingGroup,datatype_property,Commodity,integer
partialLoadAllowed,boolean,,Indication whether the shipper agrees to load part of the shipment in case where not all of the cargo is delivered within cut-off.,True,,,,,,,False,missing,,,,
partyFunction,string,,Specifies the role of the party in a given context. Possible values are: - `OS` (Original shipper) - `CN` (Consignee) - `COW` (Invoice payer on behalf of the consignor (shipper)) - `COX` (Invoice payer on behalf of the consignee) - `MS` (Document/message issuer/sender) - `N1` (First Notify Party) - `N2` (Second Notify Party) - `NI` (Other Notify Party) - `DDR` (Consignor's freight forwarder) - `DDS` (Consignee's freight forwarder) - `HE` (Carrier booking office (transportation office)) - `SCO` (,DDS,,,3,,,,False,missing,,,,
partyName,string,,Name of the party.,Asseco Denmark,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
paymentTermCode,string,,"An indicator of whether a charge is prepaid (PRE) or collect (COL). When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charge is the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided). - PRE (Prepaid) - COL (Collect)",PRE,PRE|COL,,,,,,False,missing,,,,
placeOfReceiptPickupDate,string,date,The date when the shipment must be picked up by the carrier at place of receipt. Only applicable when carrier haulage is requested.,2021-05-17,,,,,,,False,missing,,,,
plannedArrivalDate,string,date,The planned date of arrival.,,,,,,,,False,present,plannedArrivalDate,datatype_property,TransportPlanLeg,dateTime
plannedDepartureDate,string,date,The planned date of departure.,,,,,,,,False,present,plannedDepartureDate,datatype_property,TransportPlanLeg,dateTime
portVisitReference,string,,The unique reference that can be used to link different `transportCallReferences` to the same port visit. The reference is provided by the port to uniquely identify a port call,NLRTM1234589,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
postCode,string,,The post code of the party’s address.,1047 HM,,,50,,,,False,missing,,,,
properShippingName,string,,"The proper shipping name for goods under IMDG Code, or the product name for goods under IBC Code and IGC Code, or the bulk cargo shipping name for goods under IMSBC Code, or the name of oil for goods under Annex I to the MARPOL Convention.","Chromium Trioxide, anhydrous",,,250,,,,False,present,properShippingName,datatype_property,Commodity,string
publicKey,string,,The public key used for a digital signature.,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkFzaW,,,500,,,,False,missing,,,,
quantity,number,float,The amount of unit for this charge item.,34.4,,,,0,,,False,missing,,,,
receiptTypeAtOrigin,string,,Indicates the type of service offered at Origin. Options are defined in the Receipt/Delivery entity. - CY (Container yard (incl. rail ramp)) - SD (Store Door) - CFS (Container Freight Station),CY,CY|SD|CFS,,3,,,,False,present,receiptTypeAtOrigin,datatype_property,Booking,string
receivedForShipmentDate,string,date,"Date when the last container linked to the transport document is physically in the terminal (customers cleared against the intended vessel). When provided on a transport document, the transportDocument is a `Received For Shipment` B/L. Exactly one of `shippedOnBoard` and `receiveForShipmentDate` must be provided on an issued B/L.",2020-12-12,,,,,,,False,missing,,,,
reeferExtraMaterial,string,,"spacers, filler, board or dunnage material used to stabilize cargo and ensure optimal airflow inside the Reefer container.",spacers,,,500,,,,False,missing,,,,
reeferProductName,string,,Carrier specific commercial name indicating the technology service offered.,FROZEN,,,500,,,,False,missing,,,,
referenceValue,string,,The actual value of the reference.,HHL00103004,,,100,,,,False,missing,,,,
requestedEquipmentUnits,integer,int32,Number of requested equipment units.,3,,,,1,,,False,missing,,,,
requestedNumberOfOriginals,integer,int32,Number of original copies of the negotiable bill of lading that has been requested by the customer.,4,,,,1,,,False,missing,,,,
returnDescription,string,,Additional instruction on the return process of the container,Please place container...,,,500,,,^\S+(\s+\S+)*$,False,missing,,,,
sadt,number,float,Lowest temperature in which self-accelerating decomposition may occur in a substance,54.1,,,,,,,False,missing,,,,
sapt,number,float,Lowest temperature in which self-accelerating polymerization may occur in a substance,70.0,,,,,,,False,missing,,,,
sealNumber,string,,Identifies a seal affixed to the container.,,,,15,,,,False,present,sealNumber,datatype_property,Container,string
sealSource,string,,"The source of the seal, namely who has affixed the seal. This attribute links to the Seal Source ID defined in the Seal Source reference data entity. Possible values are: - CAR (Carrier) - SHI (Shipper) - PHY (Phytosanitary) - VET (Veterinary) - CUS (Customs) **Condition:** Conditional on type of commodity",CUS,,,5,,,,False,missing,,,,
sealType,string,,The type of seal. This attribute links to the Seal Type ID defined in the Seal Type reference data entity. Possible values are: - KLP (Keyless padlock) - BLT (Bolt) - WIR (Wire),WIR,,,5,,,,False,missing,,,,
sendToPlatform,string,,Indicates the shipper’s platform on which the eBL should be issued. The value **MUST** be one of: - `WAVE` (Wave) - `CARX` (CargoX) - `ESSD` (EssDocs) - `BOLE` (Bolero) - `EDOX` (EdoxOnline) - `IQAX` (IQAX) - `SECR` (Secro) - `TRGO` (TradeGo) **Condition:** Mandatory for electronic Bill of Lading (`isElectronic=TRUE`).,WAVE,,,4,,,,False,missing,,,,
serviceContractReference,string,,"Reference number for agreement between shipper and carrier through which the shipper commits to provide a certain minimum quantity of cargo over a fixed period, and the carrier commits to a certain rate or rate schedule.",HHL51800000,,,30,,,,False,present,serviceContractReference,datatype_property,Booking,string
shipmentCreatedDateTime,string,date-time,The date and time when the shipment was created (equivalent to when the Booking was confirmed).,2021-09-03T09:03:00-02:00,,,,,,,False,missing,,,,
shipmentLocationTypeCode,string,,Links to the Location Type Code defined by DCSA. Possible values are: - PRE (Place of Receipt) - POL (Port of Loading) - POD (Port of Discharge) - PDE (Place of Delivery) - PCF (Pre-carriage From) - OIR (Onward In-land Routing) - DRL (Depot release location) - ORI (Origin of goods) - IEL (Container intermediate export stop off location) - PTP (Prohibited transshipment port) - RTP (Requested transshipment port) - FCD (Full container drop-off location),PRE,,,3,,,,False,present,shipmentLocationTypeCode,datatype_property,Location,string
shipmentUpdatedDateTime,string,date-time,Last date and time when the Shipment was updated.,2021-09-03T09:03:00-02:00,,,,,,,False,missing,,,,
shippedOnBoardDate,string,date,"Date when the last container that is linked to the transport document is physically loaded onboard the vessel indicated on the transport document. When provided on a transport document, the transportDocument is a `Shipped On Board` B/L. Exactly one of `shippedOnBoard` and `receiveForShipmentDate` must be provided on an issued B/L.",2020-12-12,,,,,,,False,present,shippedOnBoardDate,datatype_property,BillOfLading,date
shippingInstructionsCreatedDateTime,string,date-time,Date and time when the `Shipping Instructions` was created,2019-11-12T07:41:00-08:30,,,,,,,False,missing,,,,
shippingInstructionsReference,string,,The identifier for a `Shipping Istructions` provided by the carrier for system purposes.,e0559d83-00e2-438e-afd9-fdd610c1a008,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
shippingInstructionsUpdatedDateTime,string,date-time,Date and time when the `Shipping Instructions` was updated,2019-11-12T07:41:00-08:30,,,,,,,False,missing,,,,
shippingMark,string,,The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the shipper.,Made in China,,,500,,,,False,missing,,,,
shippingMarks,string,,The identifying details of a package or the actual markings that appear on the package(s). This information is provided by the shipper.,Made in China,,,500,,,,False,missing,,,,
specialCertificateNumber,string,,Text field to indicate certificate number & segment for specific stowage requirements overulling IMDG code,22663:3,,,255,,,,False,missing,,,,
startDate,string,date,The start date of the period for which schedule information is sent. The value is populated in [ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) Date format.,2020-04-06,,,,,,,False,missing,,,,
stateRegion,string,,The state/region of the party’s address.,North Holland,,,65,,,,False,missing,,,,
storageAmount,number,float,"A per-day fee paid for the occupancy of space in, or near, the port (e.g., container yard, terminal), and thus covers the cost incurred by the owner of the space. Reference to facility (or carrier) website.",150.0,,,,0,,,False,missing,,,,
streetName,string,,The name of the street of the party’s address.,Ruijggoordweg,,,100,,,,False,missing,,,,
streetNumber,string,,The number of the street of the party’s address.,100,,,50,,,,False,missing,,,,
submissionDateTime,string,date-time,Date and time of submitting the relevant document and attributes,2019-11-12T07:41:00-08:30,,,,,,,False,missing,,,,
subsidiaryRisk,string,,Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code.,1.2,,,,,,^[0-9](\.[0-9])?$,False,missing,,,,
tareWeight,number,float,The weight of an empty container (gross container weight).,4800.0,,,,0,,,False,present,tareWeight,datatype_property,Container,decimal
taxReference1,string,,The identifying number of the consignee or shipper (Individual or entity) used for tax purposes.,CVR-25645774,,,20,,,,False,missing,,,,
taxReference2,string,,Optional second identifying number of the consignee or shipper (Individual or entity) used for tax purposes.,CVR-25645774,,,20,,,,False,missing,,,,
technicalName,string,,The recognized chemical or biological name or other name currently used for the referenced dangerous goods as described in chapter 3.1.2.8 of the IMDG Code.,,,,250,,,,False,present,technicalName,datatype_property,Commodity,string
temperatureSetpoint,number,float,Target value of the temperature for the Reefer based on the cargo requirement.,-15,,,,,,,False,missing,,,,
temperatureUnit,string,,The unit for temperature in Celsius or Fahrenheit - CEL (Celsius) - FAH (Fahrenheit),CEL,CEL|FAH,,,,,,False,present,temperatureUnit,datatype_property,ReeferContainer,string
termsAndConditions,string,,Carrier terms and conditions of transport.,,,,50000,,,,False,missing,,,,
transportCallReference,string,,A carrier definied reference to a `TransportCall`. In the case the Means of Transport is a `Vessel` and the facility is a `Port`/`Terminal` - this reference should be considered a **Terminal Call Reference**,987e4567,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
transportCallSequenceNumber,integer,int32,Transport operator&apos;s key that uniquely identifies each individual call. This key is essential to distinguish between two separate calls at the same location within one voyage.,2,,,,,,,False,missing,,,,
transportControlTemperature,number,float,Maximum temperature at which certain substance (such as organic peroxides and self-reactive and related substances) can be safely transported for a prolonged period.,24.1,,,,,,,False,missing,,,,
transportDocumentCreatedDateTime,string,date-time,Date and time when the TransportDocument was created,2019-11-12T07:41:00-08:30,,,,,,,False,missing,,,,
transportDocumentReference,string,,A unique number allocated by the shipping line to the transport document and the main number used for the tracking of the status of the shipment.,HHL71800000,,,20,,,^\S+(\s+\S+)*$,False,present,transportDocumentReference,datatype_property,TransportDocument,string
transportDocumentTypeCode,string,,Specifies the type of the transport document - BOL (Bill of Lading) - SWB (Sea Waybill),SWB,BOL|SWB,,,,,,False,missing,,,,
transportDocumentUpdatedDateTime,string,date-time,Date and time when the TransportDocument was updated,2019-11-12T07:41:00-08:30,,,,,,,False,missing,,,,
transportEmergencyTemperature,number,float,Temperature at which emergency procedures shall be implemented,74.1,,,,,,,False,missing,,,,
transportPlanStage,string,,"Code qualifying a specific stage of transport e.g. pre-carriage, main carriage transport or on-carriage transport - PRC (Pre-Carriage) - MNC (Main Carriage Transport) - ONC (On-Carriage Transport)",PRC,PRC|MNC|ONC,,,,,,False,present,transportPlanStage,datatype_property,TransportCall,string
transportPlanStageSequenceNumber,integer,int32,Sequence number of the transport plan stage,5,,,,,,,False,present,transportPlanStageSequenceNumber,datatype_property,TransportCall,integer
unNumber,string,,United Nations Dangerous Goods Identifier (UNDG) assigned by the UN Sub-Committee of Experts on the Transport of Dangerous Goods and shown in the IMO IMDG.,1463,,,,,,^\d{4}$,False,present,unNumber,datatype_property,Commodity,string
unitPrice,number,float,The unit price of this charge item in the currency of the charge.,3456.6,,,,0,,,False,missing,,,,
universalExportVoyageReference,string,,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]` - `2 digits` for the year - `2 alphanumeric characters` for the sequence number of the voyage - `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",2103N,,,,,,^\d{2}[0-9A-Z]{2}[NEWSR]$,False,missing,,,,
universalImportVoyageReference,string,,"A global unique voyage reference for the import Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]` - `2 digits` for the year - `2 alphanumeric characters` for the sequence number of the voyage - `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",2103N,,,,,,^\d{2}[0-9A-Z]{2}[NEWSR]$,False,missing,,,,
universalServiceReference,string,,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service. The service reference must match the regular expression pattern: `SR\d{5}[A-Z]`. The letters `SR` followed by `5 digits`, followed by a checksum-character as a capital letter from `A to Z`.",SR12345A,,,8,,,^SR\d{5}[A-Z]$,False,missing,,,,
universalVoyageReference,string,,"A global unique voyage reference, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]` - `2 digits` for the year - `2 alphanumeric characters` for the sequence number of the voyage - `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).",2201N,,,,,,^\d{2}[0-9A-Z]{2}[NEWSR]$,False,missing,,,,
url,string,,URL for the contact,https://www.dcsa.org,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
vesselCallSign,string,,"A unique alphanumeric identity that belongs to the vessel and is assigned by the International Telecommunication Union (ITU). It consists of a threeletter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a vessel changes its flag.",NCVV,,,10,,,^\S+(\s+\S+)*$,False,missing,,,,
vesselCallSignNumber,string,,"A unique alphanumeric identity that belongs to the vessel and is assigned by the International Telecommunication Union (ITU). It consists of a threeletter alphanumeric prefix that indicates nationality, followed by one to four characters to identify the individual vessel. For instance, vessels registered under Denmark are assigned the prefix ranges 5PA-5QZ, OUAOZZ, and XPA-XPZ. The Call Sign changes whenever a vessel changes its flag.",NCVV,,,10,,,^\S+(\s+\S+)*$,False,missing,,,,
vesselDraft,number,float,"The actual draft of the vessel. If the draft is specified in feet (`FOT`) then the decimal part should be concidered as a fraction of a foot and **not** as a number of inches. E.g. 120.5 feet means 120 and a half foot (which would be 120'6"")",12.5,,,,0,,,False,missing,,,,
vesselFlag,string,,The flag of the nation whose laws the vessel is registered under. This is the [ISO 3166](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en) two-letter country code,DE,,,2,,,^\S+$,False,missing,,,,
vesselIMONumber,string,,"The unique reference for a registered Vessel. The reference is the International Maritime Organisation (IMO) number, also sometimes known as the Lloyd&apos;s register code, which does not change during the lifetime of the vessel",9321483,,,7,,,^\d{7}$,False,present,vesselIMONumber,datatype_property,VesselTransportCall,string
vesselLOA,number,float,"The maximum length of a ship's hull measured parallel to the waterline (Length OverAll). If the length is specified in feet (`FOT`) then the decimal part should be concidered as a fraction of a foot and **not** as a number of inches. E.g. 120.5 feet means 120 and a half foot (which would be 120'6"")",245.45,,,,0,,,False,missing,,,,
vesselName,string,,The name of the Vessel given by the Vessel Operator and registered with IMO.,King of the Seas,,,35,,,^\S+(\s+\S+)*$,False,present,vesselName,datatype_property,VesselTransportCall,string
vesselOperatorCarrierCode,string,,The carrier who is in charge of the vessel operation based on either the SMDG or SCAC code lists,MAEU,,,10,,,^\S+(\s+\S+)*$,False,missing,,,,
vesselOperatorCarrierCodeListProvider,string,,Identifies the code list provider used for the operator and partner carriercodes.,NMFTA,SMDG|NMFTA,,,,,,False,missing,,,,
vesselOperatorSMDGLinerCode,string,,The carrier who is in charge of the vessel operation based on the SMDG code,HLC,,,10,,,^\S+(\s+\S+)*$,False,missing,,,,
vesselPartnerCarrierCode,string,,"The identifier of the vessel partner for which the current message is intended. This field allows specifying multiple, `,` (comma) separated values if there is more than one vessel partner involved.","MSCU,HLCU",,10,10,,,,False,missing,,,,
vesselPartnerCarrierCodeListProvider,string,,"Identifies the code list provider used for the vessel operator and partner carrier codes. If `vesselPartnerCarrierCode` is populated, the code list provider field is to be populated as well.",NMFTA,SMDG|NMFTA,,,,,,False,missing,,,,
vesselType,string,,Categorization of ocean-going vessels distinguished by the main cargo the vessel carries. Possible values: - GCGO (General cargo) - CONT (Container) - RORO (RoRo) - CARC (Car carrier) - PASS (Passenger) - FERY (Ferry) - BULK (Bulk) - TANK (Tanker) - LGTK (Liquefied gas tanker) - ASSI (Assistance) - PILO (Pilot boat),CONT,GCGO|CONT|RORO|CARC|PASS|FERY|BULK|TANK|LGTK|ASSI|PILO,,,,,,False,missing,,,,
vesselWidth,number,float,"Overall width of the ship measured at the widest point of the nominal waterline. If the width is specified in feet (`FOT`) then the decimal part should be concidered as a fraction of a foot and **not** as a number of inches. E.g. 120.5 feet means 120 and a half foot (which would be 120'6"")",37.33,,,,0,,,False,missing,,,,
volume,number,float,"Calculated by multiplying the width, height, and length of the packed cargo.",12.0,,,,0,,,False,present,volume,datatype_property,CargoItem,decimal
volumeUnit,string,,The unit of measure which can be expressed in either imperial or metric terms - FTQ (Cubic foot) - MTQ (Cubic meter),MTQ,MTQ|FTQ,,,,,,False,missing,,,,
volumeUnitDG,string,,The unit of measure which can be expressed in either imperial or metric terms - FTQ (Cubic foot) - MTQ (Cubic meter) - LTR (Litre),MTQ,MTQ|FTQ|LTR,,,,,,False,missing,,,,
weight,number,float,The total weight of the cargo including packaging items being carried in the container(s). Excludes the tare weight of the container(s).,13000.3,,,,0,,,False,present,weight,datatype_property,CargoItem,decimal
weightUnit,string,,The unit of measure which can be expressed in imperial or metric terms - KGM (Kilograms) - LBR (Pounds),KGM,KGM|LBR,,,,,,False,missing,,,,
